,Id,OrgId,IncidentId,AlertId,DetectorId,AlertTitle,Category,IncidentGrade,EntityType,EvidenceRole,DeviceId,Sha256,IpAddress,Url,AccountSid,AccountUpn,AccountObjectId,AccountName,DeviceName,NetworkMessageId,RegistryKey,RegistryValueName,RegistryValueData,ApplicationId,ApplicationName,OAuthApplicationId,FileName,FolderPath,ResourceIdName,OSFamily,OSVersion,CountryCode,State,City,time
Id,1.0,0.006469670012103299,0.01406168979749969,0.008626513562938976,0.00266684169345414,0.008841958959174258,-0.0071108385046167516,-0.023474882459668736,0.011775530475753615,-0.0033734012476011816,0.0030079306809067314,0.0028285632196200154,0.012384213082261399,-0.00954501585439413,-0.0035181527322464892,-0.003940191003935825,-0.0016600812224914138,-0.004340464186866592,0.00864272032296908,-0.004132655684785833,0.0026108891791518595,0.0011063324515761604,-0.00031945097014425295,-0.0024682332608555063,-0.002585889416757021,-0.0015377451037483854,0.0019473959614447207,0.0010785779908497452,-0.0027648463351541966,0.0015808975579811994,0.0016641032140658609,0.012273740647781918,0.009761976769287218,0.009866688416848877,0.003004894300647264
OrgId,0.006469670012103299,1.0,0.018284552804031788,0.15112624046107412,0.15021266301253655,-0.005719156043056001,0.07744477804001229,-0.01309992929377941,0.02175075246841539,0.011081457363388043,0.008311751986563632,0.0002590551731604751,0.11529349967093283,0.009424865182142406,-0.02200466893545877,-0.01749002876904344,-0.020064478600502554,-0.02597879941623164,0.041008392155676546,0.016300727602415514,-0.0034351237010441346,-0.01202389503745738,-0.01606618127969733,-0.05550701969293835,-0.06005832377159778,-0.0430850583262568,0.008871003937854418,0.024173844636080823,-0.011482227936682486,-0.00985811554091533,-0.010303267812949199,0.02349284393515333,0.023043050428579986,0.025350697098042038,0.024313319194296863
IncidentId,0.01406168979749969,0.018284552804031788,1.0,0.40973976119700983,0.04082891366182212,0.10341594310524171,0.04569899751312031,-0.1212896805543485,0.0233443606333281,-0.06632462710219175,-0.03827548674741612,-0.027561652553783476,0.132310697706925,-0.02566891094469034,-0.018040626741870847,0.010313004556745145,-0.016422399955555115,-0.018341938185419546,0.010684400825743243,0.059648904791341426,0.014783160358219275,0.004729647492289007,0.006221563345328756,-0.1811873674497969,-0.1804603069881265,-0.006870240529151427,-0.018953207694640792,-0.0010180468066680012,-0.013227134458161623,-0.04639324408235627,-0.04619613588845379,0.04576147674853244,0.040072388817005665,0.041666359448647446,0.006966315497612483
AlertId,0.008626513562938976,0.15112624046107412,0.40973976119700983,1.0,0.12507144074032575,0.1462341377371435,0.10713989067640872,0.14076000125292149,-0.04522849944193761,-0.02102473901411556,-0.058830064328835786,0.005005678762408959,0.08224052465871126,0.06446095461209292,-0.08569786490097608,0.02669282831742032,-0.0856416274412244,-0.08502310244270574,0.02893225226909699,0.1873263198999009,0.0031358336104326543,0.001266115351855031,0.005051378430290946,-0.1444848382770071,-0.1470850188932607,-0.029185218650030438,0.04319864024206141,0.049447519159717256,-0.008791140014662366,-0.07478907715208015,-0.07507621828415086,-0.16170660122033723,-0.1572515423467432,-0.15607168633936916,-0.007135389608314898
DetectorId,0.00266684169345414,0.15021266301253655,0.04082891366182212,0.12507144074032575,1.0,0.23966333855002764,-0.05669733067251101,-0.11497944077712828,0.046401792683197725,-0.0772644031727175,-0.03136724867985184,-0.024705591951250785,0.040041472042239554,0.03999978122119961,0.021179125362091555,0.027078409566731174,0.022946875480466634,1.485883845542169e-06,-0.035507592397365145,0.005076734107184019,-0.016741532101083898,-0.049305698581234715,-0.04677470776732673,0.01738944399145666,0.008176840946058306,-0.028108501304250553,-0.045056333627676144,-0.062339958920533366,-0.03397778589864901,-0.0048435729398752046,-0.005183637742605335,0.06931969035408235,0.06334987066368988,0.06306033256445673,0.010023758408408152
AlertTitle,0.008841958959174258,-0.005719156043056001,0.10341594310524171,0.1462341377371435,0.23966333855002764,1.0,-0.09376966415970331,-0.13683799526989304,0.00890398517951515,-0.2051268971555249,0.011756151435582977,0.007497758278445118,0.08253804142242821,0.059920665459419965,0.02239535661309624,-0.06050912753587311,0.0202251696146862,0.0194381301064551,-0.00066042123886018,-0.14196397020630483,0.006598993528819533,-0.0015766221308206334,-0.00025743755794409767,-0.00891451413660433,-0.009295965357821397,-0.0029954935296379005,-0.04038557249842273,-0.08676154287151996,0.0033928451481425384,0.01138247572090274,0.011194086987671138,0.07399952410447892,0.0674944228413179,0.06741657250936332,0.044475813384292975
Category,-0.0071108385046167516,0.07744477804001229,0.04569899751312031,0.10713989067640872,-0.05669733067251101,-0.09376966415970331,1.0,0.17617611541016878,-0.1294702135547243,0.042982152040751426,0.036924318001474166,0.044813848048323696,-0.07850991876295674,0.18241899835533285,-0.06891836454696981,-0.02773601814085236,-0.06771166851068912,-0.06020334334414351,0.03556244342966635,0.06064492260827604,0.050705087280106045,-0.0069915556540138465,-0.009693367508059983,-0.1316738642793508,-0.12905248546938158,0.005018033885321931,0.07252427507280697,0.07805671531622106,-0.0006035638841741833,0.18401324446019318,0.18368704458195703,-0.06200046709849953,-0.052547816731772376,-0.05240406481171582,-0.03864248306198786
IncidentGrade,-0.023474882459668736,-0.01309992929377941,-0.1212896805543485,0.14076000125292149,-0.11497944077712828,-0.13683799526989304,0.17617611541016878,1.0,-0.14182075466844918,0.15730430590714756,0.08010671703575996,0.1388603683016758,-0.1531560735276904,0.08353730048239512,-0.08951279945607861,0.033433821284791256,-0.09027026543888221,-0.06979930496531628,0.10387097035365472,0.15940630139075324,0.0008950671047312957,0.008908003784603354,0.008176732407699951,-0.004332935925440747,-0.002824608971831671,0.003046611495848298,0.15943477581075144,0.1585011546625989,0.017694173569289953,0.06530259326149054,0.06534919717875994,-0.29113815813100963,-0.266188055507903,-0.2671165423860393,-0.055651359670136846
EntityType,0.011775530475753615,0.02175075246841539,0.0233443606333281,-0.04522849944193761,0.046401792683197725,0.00890398517951515,-0.1294702135547243,-0.14182075466844918,1.0,-0.38805978126703583,0.02765344273763258,0.03478451051999071,0.32282315704632225,-0.3382543272402436,-0.6017803593635552,-0.5568774255338391,-0.5958796344603827,-0.6281636599040352,0.039115805633150265,-0.0321058074430387,-0.04141285634336816,-0.021667780877631434,-0.023945124327848382,0.26867389182281604,0.26867921953681684,-0.010710009233811905,0.12416610913883137,0.09388432001338683,0.05932080818551317,0.020358141922391323,0.020373138208360658,0.1771552911022816,0.16162242727980217,0.16145360114807736,0.024492729074060488
EvidenceRole,-0.0033734012476011816,0.011081457363388043,-0.06632462710219175,-0.02102473901411556,-0.0772644031727175,-0.2051268971555249,0.042982152040751426,0.15730430590714756,-0.38805978126703583,1.0,0.21151964698986392,-0.15969200456813631,-0.48099181216259107,-0.24374205492207598,0.5730909566597918,0.5633302699730078,0.571442214883083,0.5925878644667835,0.2873996150135311,0.10831751854194757,-0.038499191156324844,-0.019165074486685082,-0.021179376601956724,0.1614150811768107,0.15832583680333004,-0.014385673641321092,-0.08580063981450502,-0.020893304447120085,0.030922686771532436,0.15906868966551707,0.1591858634021607,-0.2639412224740834,-0.24079902310581283,-0.24054749138291598,-0.045443252043585784
DeviceId,0.0030079306809067314,0.008311751986563632,-0.03827548674741612,-0.058830064328835786,-0.03136724867985184,0.011756151435582977,0.036924318001474166,0.08010671703575996,0.02765344273763258,0.21151964698986392,1.0,-0.054039247358562026,-0.10193194144484015,-0.05165389564169858,-0.10122059800184412,-0.13750056155337015,-0.10059178181324349,-0.10471561391629146,0.6789135222577675,-0.06736587357789892,-0.008158761125217228,-0.004061468825381987,-0.004488340385509786,-0.029076764702749065,-0.02949538710214458,-0.0030486166420563986,-0.06444611725774156,-0.060024739721763885,0.004193146328193392,0.6827151123636216,0.6832850116335958,-0.05593450980618148,-0.05103020738094888,-0.05097690269633321,-0.0006744378262616871
Sha256,0.0028285632196200154,0.0002590551731604751,-0.027561652553783476,0.005005678762408959,-0.024705591951250785,0.007497758278445118,0.044813848048323696,0.1388603683016758,0.03478451051999071,-0.15969200456813631,-0.054039247358562026,1.0,-0.1498830984155947,-0.07592307461727965,-0.1488371224657579,-0.2021840250208426,-0.14791249651099475,-0.1539762751871007,-0.07718316816642178,-0.09905634795343543,-0.011996832193589248,-0.005972078261612383,-0.006599760135915453,-0.04275515136643923,-0.04337070348287448,-0.004482756844575365,0.8640398443249966,0.7509729840412643,-0.00788522155531882,-0.040562188848404124,-0.04059206791034884,-0.08224740468273005,-0.07503600428513489,-0.07495762383661253,-0.014223933547919064
IpAddress,0.012384213082261399,0.11529349967093283,0.132310697706925,0.08224052465871126,0.040041472042239554,0.08253804142242821,-0.07850991876295674,-0.1531560735276904,0.32282315704632225,-0.48099181216259107,-0.10193194144484015,-0.1498830984155947,1.0,-0.1432670938706108,-0.2807451545603241,-0.3813711553524013,-0.27900107181874756,-0.2904389204780581,-0.14558733814082686,-0.18684578991885384,-0.0226291159935399,-0.011264878054791946,-0.012448847765412767,-0.08064722953363287,-0.08180831939616985,-0.008455634201583339,-0.17874756232920447,-0.16648444252740865,-0.014873559147177239,-0.07651073730054926,-0.0765670969084764,0.5180083520992946,0.4816878074366222,0.48328483645754894,0.055710519014513356
Url,-0.00954501585439413,0.009424865182142406,-0.02566891094469034,0.06446095461209292,0.03999978122119961,0.059920665459419965,0.18241899835533285,0.08353730048239512,-0.3382543272402436,-0.24374205492207598,-0.05165389564169858,-0.07592307461727965,-0.1432670938706108,1.0,-0.14226728844772019,-0.19325940014577786,-0.14138347649786864,-0.14717959332483718,-0.07377621837162703,-0.09468389198474804,-0.011467278847295858,-0.00570846416943269,-0.006308439476569894,-0.04086789203732018,-0.04145627300741165,-0.004284883035111449,-0.09058012434459613,-0.08436580230280633,-0.0075371592174032255,-0.03877172929283914,-0.038800289460181846,-0.0786169139272665,-0.07172383266181287,-0.07164891201233095,-0.0023942001682661406
AccountSid,-0.0035181527322464892,-0.02200466893545877,-0.018040626741870847,-0.08569786490097608,0.021179125362091555,0.02239535661309624,-0.06891836454696981,-0.08951279945607861,-0.6017803593635552,0.5730909566597918,-0.10122059800184412,-0.1488371224657579,-0.2807451545603241,-0.14226728844772019,1.0,0.7343021570041297,0.9848263018319992,0.9645199754180885,-0.1445713406340917,-0.185541865696233,-0.02247119617906129,-0.011186264844576755,-0.012361972090278001,-0.08008442383101332,-0.08123741089822652,-0.008396625613498443,-0.1775001524927251,-0.1653226122427043,-0.014769762352733785,-0.07597679857118986,-0.07603276486726959,-0.15405713241800303,-0.1405495005327567,-0.14040268657327123,-0.006260410765159602
AccountUpn,-0.003940191003935825,-0.01749002876904344,0.010313004556745145,0.02669282831742032,0.027078409566731174,-0.06050912753587311,-0.02773601814085236,0.033433821284791256,-0.5568774255338391,0.5633302699730078,-0.13750056155337015,-0.2021840250208426,-0.3813711553524013,-0.19325940014577786,0.7343021570041297,1.0,0.7426614299128237,0.7229909437111602,-0.19638928157036495,0.4426584205478545,-0.030525428167691517,-0.015195698584846347,-0.0167928083599087,-0.10878866027091656,-0.1103549063940473,-0.011406183719524664,-0.24112059329172944,-0.2245783217011349,-0.02006361015050994,-0.10320876061585747,-0.10328478661543215,-0.20927501552985922,-0.19092591459443503,-0.19072647888400196,-0.03577498418238458
AccountObjectId,-0.0016600812224914138,-0.020064478600502554,-0.016422399955555115,-0.0856416274412244,0.022946875480466634,0.0202251696146862,-0.06771166851068912,-0.09027026543888221,-0.5958796344603827,0.571442214883083,-0.10059178181324349,-0.14791249651099475,-0.27900107181874756,-0.14138347649786864,0.9848263018319992,0.7426614299128237,1.0,0.9576693478109688,-0.14367321514191198,-0.18438921760764918,-0.02233159759721601,-0.0111167720282616,-0.0122851753875631,-0.07958691262130543,-0.08073273694744866,-0.008344462968545397,-0.17639746221449767,-0.1642955729149984,-0.014678007652085358,-0.07550480530260735,-0.07556042391734281,-0.1531000780165614,-0.13967636005563513,-0.13953045815354556,-0.008120542630100475
AccountName,-0.004340464186866592,-0.02597879941623164,-0.018341938185419546,-0.08502310244270574,1.485883845542169e-06,0.0194381301064551,-0.06020334334414351,-0.06979930496531628,-0.6281636599040352,0.5925878644667835,-0.10471561391629146,-0.1539762751871007,-0.2904389204780581,-0.14717959332483718,0.9645199754180885,0.7229909437111602,0.9576693478109688,1.0,-0.14956320144365542,-0.19194838557660898,-0.023247097426555244,-0.011572512055387072,-0.012788814946793564,-0.08284963507569013,-0.08404243329031241,-0.008686550201240572,-0.18362900245033806,-0.17103098753596346,-0.015279743082883926,-0.07860017884533789,-0.07865807758499908,-0.15937652531001126,-0.1454024924220296,-0.14525060916698473,-0.005889916212294112
DeviceName,0.00864272032296908,0.041008392155676546,0.010684400825743243,0.02893225226909699,-0.035507592397365145,-0.00066042123886018,0.03556244342966635,0.10387097035365472,0.039115805633150265,0.2873996150135311,0.6789135222577675,-0.07718316816642178,-0.14558733814082686,-0.07377621837162703,-0.1445713406340917,-0.19638928157036495,-0.14367321514191198,-0.14956320144365542,1.0,-0.09621731987754642,-0.011652994124419825,-0.005800914088831509,-0.006410606137135862,-0.04152975715773752,-0.042127667095982965,-0.00435427772332696,-0.0920470907556031,-0.0857321263072267,-0.0009413476755903694,0.4678176609570466,0.46812972368875855,-0.07989013333276564,-0.07288541699549217,-0.07280928298848344,-0.004052257876992811
NetworkMessageId,-0.004132655684785833,0.016300727602415514,0.059648904791341426,0.1873263198999009,0.005076734107184019,-0.14196397020630483,0.06064492260827604,0.15940630139075324,-0.0321058074430387,0.10831751854194757,-0.06736587357789892,-0.09905634795343543,-0.18684578991885384,-0.09468389198474804,-0.185541865696233,0.4426584205478545,-0.18438921760764918,-0.19194838557660898,-0.09621731987754642,1.0,-0.014955372629935388,-0.007444853302631188,-0.008227327890237704,-0.05329900512205502,-0.05406635863052794,-0.005588250126217479,-0.11813260412333217,-0.11002802211960667,-0.009829797126979622,-0.05056523581600122,-0.05060248335752006,-0.10253044845726797,-0.0935406436163558,-0.09344293375463808,-0.04249976579805555
RegistryKey,0.0026108891791518595,-0.0034351237010441346,0.014783160358219275,0.0031358336104326543,-0.016741532101083898,0.006598993528819533,0.050705087280106045,0.0008950671047312957,-0.04141285634336816,-0.038499191156324844,-0.008158761125217228,-0.011996832193589248,-0.0226291159935399,-0.011467278847295858,-0.02247119617906129,-0.030525428167691517,-0.02233159759721601,-0.023247097426555244,-0.011652994124419825,-0.014955372629935388,1.0,0.379144185322386,0.3945993287113884,-0.0064551059447007005,-0.006548041041385609,-0.0006767996237010477,-0.014307180282128898,-0.013325624709907061,-0.001190498429084296,-0.006124015890420264,-0.006128526984503098,-0.012417584640346258,-0.011328818676750493,-0.011316984919109221,0.022665609710440328
RegistryValueName,0.0011063324515761604,-0.01202389503745738,0.004729647492289007,0.001266115351855031,-0.049305698581234715,-0.0015766221308206334,-0.0069915556540138465,0.008908003784603354,-0.021667780877631434,-0.019165074486685082,-0.004061468825381987,-0.005972078261612383,-0.011264878054791946,-0.00570846416943269,-0.011186264844576755,-0.015195698584846347,-0.0111167720282616,-0.011572512055387072,-0.005800914088831509,-0.007444853302631188,0.379144185322386,1.0,0.8233937440899649,-0.0032133814382569324,-0.0032596449569670346,-0.0003369139665330258,-0.0071221801696565515,-0.006633557289812969,-0.0005926355953050394,-0.0030485632859397764,-0.0030508089293295403,-0.00618153076542951,-0.005639538059502217,-0.005633647160501454,0.0001037818707635402
RegistryValueData,-0.00031945097014425295,-0.01606618127969733,0.006221563345328756,0.005051378430290946,-0.04677470776732673,-0.00025743755794409767,-0.009693367508059983,0.008176732407699951,-0.023945124327848382,-0.021179376601956724,-0.004488340385509786,-0.006599760135915453,-0.012448847765412767,-0.006308439476569894,-0.012361972090278001,-0.0167928083599087,-0.0122851753875631,-0.012788814946793564,-0.006410606137135862,-0.008227327890237704,0.3945993287113884,0.8233937440899649,1.0,-0.0035511166780932296,-0.00360224262004525,-0.0003723245523836998,-0.007870740922243285,-0.0073307624319037526,-0.0006549232286786736,-0.0033689756840064988,-0.003371457350702642,-0.006831226674780165,-0.006232269042639392,-0.006225758993928711,-0.002112854402097806
ApplicationId,-0.0024682332608555063,-0.05550701969293835,-0.1811873674497969,-0.1444848382770071,0.01738944399145666,-0.00891451413660433,-0.1316738642793508,-0.004332935925440747,0.26867389182281604,0.1614150811768107,-0.029076764702749065,-0.04275515136643923,-0.08064722953363287,-0.04086789203732018,-0.08008442383101332,-0.10878866027091656,-0.07958691262130543,-0.08284963507569013,-0.04152975715773752,-0.05329900512205502,-0.0064551059447007005,-0.0032133814382569324,-0.0035511166780932296,1.0,0.986367016041267,-0.0024120259322731184,-0.0509889318045494,-0.0474907952641937,-0.004242781737350906,-0.021825197030370665,-0.021841273983629336,-0.044254658424524494,-0.04037443797758417,-0.040332264002735374,0.01883626205615079
ApplicationName,-0.002585889416757021,-0.06005832377159778,-0.1804603069881265,-0.1470850188932607,0.008176840946058306,-0.009295965357821397,-0.12905248546938158,-0.002824608971831671,0.26867921953681684,0.15832583680333004,-0.02949538710214458,-0.04337070348287448,-0.08180831939616985,-0.04145627300741165,-0.08123741089822652,-0.1103549063940473,-0.08073273694744866,-0.08404243329031241,-0.042127667095982965,-0.05406635863052794,-0.006548041041385609,-0.0032596449569670346,-0.00360224262004525,0.986367016041267,1.0,0.09530789371413266,-0.05172302685236695,-0.048174527132776486,-0.004303865681495249,-0.022139417558055426,-0.02215572597354176,-0.044891799161597086,-0.04095571461800479,-0.04091293345830694,0.018555272703741636
OAuthApplicationId,-0.0015377451037483854,-0.0430850583262568,-0.006870240529151427,-0.029185218650030438,-0.028108501304250553,-0.0029954935296379005,0.005018033885321931,0.003046611495848298,-0.010710009233811905,-0.014385673641321092,-0.0030486166420563986,-0.004482756844575365,-0.008455634201583339,-0.004284883035111449,-0.008396625613498443,-0.011406183719524664,-0.008344462968545397,-0.008686550201240572,-0.00435427772332696,-0.005588250126217479,-0.0006767996237010477,-0.0003369139665330258,-0.0003723245523836998,-0.0024120259322731184,0.09530789371413266,1.0,-0.005346045464449974,-0.004979275729848267,-0.00044484368000899686,-0.0022883102560810704,-0.002289995879215548,-0.004639975923760505,-0.0042331457708766436,-0.0042287239487481774,0.0009198676862753808
FileName,0.0019473959614447207,0.008871003937854418,-0.018953207694640792,0.04319864024206141,-0.045056333627676144,-0.04038557249842273,0.07252427507280697,0.15943477581075144,0.12416610913883137,-0.08580063981450502,-0.06444611725774156,0.8640398443249966,-0.17874756232920447,-0.09058012434459613,-0.1775001524927251,-0.24112059329172944,-0.17639746221449767,-0.18362900245033806,-0.0920470907556031,-0.11813260412333217,-0.014307180282128898,-0.0071221801696565515,-0.007870740922243285,-0.0509889318045494,-0.05172302685236695,-0.005346045464449974,1.0,0.8837905563936783,-0.009403756303000416,-0.04837364890391799,-0.04840928207100124,-0.09808659715703887,-0.08948642638610717,-0.08939295144294127,-0.024728722977536036
FolderPath,0.0010785779908497452,0.024173844636080823,-0.0010180468066680012,0.049447519159717256,-0.062339958920533366,-0.08676154287151996,0.07805671531622106,0.1585011546625989,0.09388432001338683,-0.020893304447120085,-0.060024739721763885,0.7509729840412643,-0.16648444252740865,-0.08436580230280633,-0.1653226122427043,-0.2245783217011349,-0.1642955729149984,-0.17103098753596346,-0.0857321263072267,-0.11002802211960667,-0.013325624709907061,-0.006633557289812969,-0.0073307624319037526,-0.0474907952641937,-0.048174527132776486,-0.004979275729848267,0.8837905563936783,1.0,-0.008758604063565177,-0.04505493594343283,-0.04508812446851839,-0.09135728753057269,-0.08334713836950225,-0.08326007634972402,-0.02550727535453528
ResourceIdName,-0.0027648463351541966,-0.011482227936682486,-0.013227134458161623,-0.008791140014662366,-0.03397778589864901,0.0033928451481425384,-0.0006035638841741833,0.017694173569289953,0.05932080818551317,0.030922686771532436,0.004193146328193392,-0.00788522155531882,-0.014873559147177239,-0.0075371592174032255,-0.014769762352733785,-0.02006361015050994,-0.014678007652085358,-0.015279743082883926,-0.0009413476755903694,-0.009829797126979622,-0.001190498429084296,-0.0005926355953050394,-0.0006549232286786736,-0.004242781737350906,-0.004303865681495249,-0.00044484368000899686,-0.009403756303000416,-0.008758604063565177,1.0,-0.004025164420492017,-0.004028129451238754,-0.008161771748660913,-0.007446152766392264,-0.007438374729711715,-0.004708206917242246
OSFamily,0.0015808975579811994,-0.00985811554091533,-0.04639324408235627,-0.07478907715208015,-0.0048435729398752046,0.01138247572090274,0.18401324446019318,0.06530259326149054,0.020358141922391323,0.15906868966551707,0.6827151123636216,-0.040562188848404124,-0.07651073730054926,-0.03877172929283914,-0.07597679857118986,-0.10320876061585747,-0.07550480530260735,-0.07860017884533789,0.4678176609570466,-0.05056523581600122,-0.006124015890420264,-0.0030485632859397764,-0.0033689756840064988,-0.021825197030370665,-0.022139417558055426,-0.0022883102560810704,-0.04837364890391799,-0.04505493594343283,-0.004025164420492017,1.0,0.9992855589232279,-0.04198478440766706,-0.03830358507818306,-0.038263574256609215,-0.010006951157085334
OSVersion,0.0016641032140658609,-0.010303267812949199,-0.04619613588845379,-0.07507621828415086,-0.005183637742605335,0.011194086987671138,0.18368704458195703,0.06534919717875994,0.020373138208360658,0.1591858634021607,0.6832850116335958,-0.04059206791034884,-0.0765670969084764,-0.038800289460181846,-0.07603276486726959,-0.10328478661543215,-0.07556042391734281,-0.07865807758499908,0.46812972368875855,-0.05060248335752006,-0.006128526984503098,-0.0030508089293295403,-0.003371457350702642,-0.021841273983629336,-0.02215572597354176,-0.002289995879215548,-0.04840928207100124,-0.04508812446851839,-0.004028129451238754,0.9992855589232279,1.0,-0.04201571138694703,-0.038331800399489024,-0.03829176010500682,-0.010120934540501735
CountryCode,0.012273740647781918,0.02349284393515333,0.04576147674853244,-0.16170660122033723,0.06931969035408235,0.07399952410447892,-0.06200046709849953,-0.29113815813100963,0.1771552911022816,-0.2639412224740834,-0.05593450980618148,-0.08224740468273005,0.5180083520992946,-0.0786169139272665,-0.15405713241800303,-0.20927501552985922,-0.1531000780165614,-0.15937652531001126,-0.07989013333276564,-0.10253044845726797,-0.012417584640346258,-0.00618153076542951,-0.006831226674780165,-0.044254658424524494,-0.044891799161597086,-0.004639975923760505,-0.09808659715703887,-0.09135728753057269,-0.008161771748660913,-0.04198478440766706,-0.04201571138694703,1.0,0.9125550745682807,0.9096365844833788,0.026511462217654987
State,0.009761976769287218,0.023043050428579986,0.040072388817005665,-0.1572515423467432,0.06334987066368988,0.0674944228413179,-0.052547816731772376,-0.266188055507903,0.16162242727980217,-0.24079902310581283,-0.05103020738094888,-0.07503600428513489,0.4816878074366222,-0.07172383266181287,-0.1405495005327567,-0.19092591459443503,-0.13967636005563513,-0.1454024924220296,-0.07288541699549217,-0.0935406436163558,-0.011328818676750493,-0.005639538059502217,-0.006232269042639392,-0.04037443797758417,-0.04095571461800479,-0.0042331457708766436,-0.08948642638610717,-0.08334713836950225,-0.007446152766392264,-0.03830358507818306,-0.038331800399489024,0.9125550745682807,1.0,0.996487183265844,0.02502204023772135
City,0.009866688416848877,0.025350697098042038,0.041666359448647446,-0.15607168633936916,0.06306033256445673,0.06741657250936332,-0.05240406481171582,-0.2671165423860393,0.16145360114807736,-0.24054749138291598,-0.05097690269633321,-0.07495762383661253,0.48328483645754894,-0.07164891201233095,-0.14040268657327123,-0.19072647888400196,-0.13953045815354556,-0.14525060916698473,-0.07280928298848344,-0.09344293375463808,-0.011316984919109221,-0.005633647160501454,-0.006225758993928711,-0.040332264002735374,-0.04091293345830694,-0.0042287239487481774,-0.08939295144294127,-0.08326007634972402,-0.007438374729711715,-0.038263574256609215,-0.03829176010500682,0.9096365844833788,0.996487183265844,1.0,0.02542668691230832
time,0.003004894300647264,0.024313319194296863,0.006966315497612483,-0.007135389608314898,0.010023758408408152,0.044475813384292975,-0.03864248306198786,-0.055651359670136846,0.024492729074060488,-0.045443252043585784,-0.0006744378262616871,-0.014223933547919064,0.055710519014513356,-0.0023942001682661406,-0.006260410765159602,-0.03577498418238458,-0.008120542630100475,-0.005889916212294112,-0.004052257876992811,-0.04249976579805555,0.022665609710440328,0.0001037818707635402,-0.002112854402097806,0.01883626205615079,0.018555272703741636,0.0009198676862753808,-0.024728722977536036,-0.02550727535453528,-0.004708206917242246,-0.010006951157085334,-0.010120934540501735,0.026511462217654987,0.02502204023772135,0.02542668691230832,1.0
